ItemCode,ItemName,PrimaryUnit,ExtraUnit,ExtraBarcode,ExtraPrice
"3201000345","POKKA ALOE V WHITE GRAPE 300ML","PCS","CTN","2005000329401","118.39250000000001"
"3201000346","POKKA ALOE V PEACH 300ML","PCS","CTN","2005000329418","118.39250000000001"
"3201000347","POKKA ALOE V BLUEBERRY 300ML","PCS","CTN","2005000329425","121.61250000000001"
"3201000351","SUN TOP MANGO JUICE 250ML","PCS","OUT","2005000328077","14.8925"
"3201000351","SUN TOP MANGO JUICE 250ML","PCS","CTN","6281012022455","31.038499999999996"
"3201000364","AL RABIE MANGO PASSION FRUIT 330ML","PCS","CTN","06281026176212","48.3"
"3201000364","AL RABIE MANGO PASSION FRUIT 330ML","PCS","CTN","6281026176212","48.3"
"3201000379","RANI TOMATO DRINK CAN 150ML","PCS","CTN","2004000162483","43.125"
"3201000379","RANI TOMATO DRINK CAN 150ML","PCS","CTN","6281034901752","43.125"
"3201000380","RANI CARROT & ORANGE NRB DRINK 200ML","PCS","CTN","2004000162490","43.124885"
"3201000380","RANI CARROT & ORANGE NRB DRINK 200ML","PCS","CTN","6281034901837","43.124885"
"3201000381","RANI APPLE DRINK NRB 200ML","PCS","CTN","2004001488490","103.48849999999999"
"3201000381","RANI APPLE DRINK NRB 200ML","PCS","CTN","6281034901844","103.48849999999999"
"3201000384","RANI MANGO TETRA 250ML","PCS","OUT","2004000182474","17.537499999999998"
"3201000384","RANI MANGO TETRA 250ML","PCS","OUT","6281034900724","17.537499999999998"
"3201000384","RANI MANGO TETRA 250ML","PCS","OUT","6281034912109","17.537499999999998"
"3201000384","RANI MANGO TETRA 250ML","PCS","CTN","2004001488711","56.925"
"3201000384","RANI MANGO TETRA 250ML","PCS","CTN","6281034900236","56.925"
"3201000385","RANI APPLE TETRA PACK 250 ML","PCS","OUT","6281034900731","15.2375"
"3201000385","RANI APPLE TETRA PACK 250 ML","PCS","CTN","6281034900243","45.425000000000004"
"3201000391","RANI MANGO BOTTLE NRB 200ML","PCS","CTN","2004001488377","83.375"
"3201000391","RANI MANGO BOTTLE NRB 200ML","PCS","CTN","6281034902001","83.375"
"3201000392","RANI MANGO PET 1.5LTR","PCS","CTN","6281034901271","51.175115000000005"
"3201000393","RANI APPLE PET 1.5 LTR","PCS","CTN","2004001497447","51.175115000000005"
"3201000413","AL RABIE MANGO JUICE 330ML.","PCS","CTN","06281026170234","112.125"
"3201000413","AL RABIE MANGO JUICE 330ML.","PCS","CTN","6281026170234","112.125"
"3201000415","AL RABIE APPLE JUICE 330ML","PCS","CTN","06281026170111","48.3"
"3201000415","AL RABIE APPLE JUICE 330ML","PCS","CTN","6281026170111","48.3"
"3201000416","AL RABIE PINEAPPLE JUICE330ML","PCS","CTN","06281026170173","48.3"
"3201000416","AL RABIE PINEAPPLE JUICE330ML","PCS","CTN","6281026170173","48.3"
"3201000421","CADBURY DRINKING CHOCOLATE 500GR","PCS","CTN","2004000153054","251.275"
"3201000422","CADBURY DRINKING CHOCOLATE 250GR","PCS","CTN","2004000281443","340.4"
"3201000429","CAPRISON MANGO JUICE 200ML","PCS","OUT2","6291100850976","22.9425"
"3201000429","CAPRISON MANGO JUICE 200ML","PCS","OUT","6291100850433","24.8975"
"3201000429","CAPRISON MANGO JUICE 200ML","PCS","CTN","6291100850532","99.41715500000001"
"3201000430","CAPRISON ORANGE JUICE 200ML","PCS","OUT","6291100850426","13.799999999999999"
"3201000430","CAPRISON ORANGE JUICE 200ML","PCS","OUT","6298044096293","13.799999999999999"
"3201000430","CAPRISON ORANGE JUICE 200ML","PCS","OUT2","6291100850969","13.799999999999999"
"3201000430","CAPRISON ORANGE JUICE 200ML","PCS","CTN","6291100850525","99.41715500000001"
"3201000431","CAPRISON STRAWBERRY JUICE 200ML","PCS","OUT2","6291100850983","22.9425"
"3201000431","CAPRISON STRAWBERRY JUICE 200ML","PCS","OUT","6291100850440","24.886574999999997"
"3201000431","CAPRISON STRAWBERRY JUICE 200ML","PCS","CTN","6291100850549","99.41715500000001"
"3201000459","LACNOR JUICE ORANGE 180ML","PCS","OUT","2004001485239","10.338500000000002"
"3201000459","LACNOR JUICE ORANGE 180ML","PCS","OUT","6291016114216","10.338500000000002"
"3201000459","LACNOR JUICE ORANGE 180ML","PCS","OUT","6291016114285","10.338500000000002"
"3201000459","LACNOR JUICE ORANGE 180ML","PCS","CTN","6291016114414","47.13850000000001"
"3201000461","LACNOR JUICE GUAVA 180ML","PCS","OUT","2004001485161","17.25"
"3201000461","LACNOR JUICE GUAVA 180ML","PCS","OUT","6291016124239","17.25"
"3201000461","LACNOR JUICE GUAVA 180ML","PCS","CTN","2004000087489","69"
"3201000461","LACNOR JUICE GUAVA 180ML","PCS","CTN","6291016124437","69"
"3201000466","LACNOR MANGO MIX JUICES 125 ML","PCS","OUT2","6291016001820","10.338500000000002"
"3201000466","LACNOR MANGO MIX JUICES 125 ML","PCS","CTN2","6291016165423","37.6625"
"3201000467","LACNOR JUICE ORANGE 1LT","PCS","OFFER","6291021000306","31.625000000000004"
"3201000467","LACNOR JUICE ORANGE 1LT","PCS","OUT","6291016111512","31.625000000000004"
"3201000467","LACNOR JUICE ORANGE 1LT","PCS","CTN","2004000282013","95.44999999999999"
"3201000468","LACNOR JUICE MANGO 1 LT","PCS","OUT","6291016005255","38.525000000000006"
"3201000468","LACNOR JUICE MANGO 1 LT","PCS","OUT","6291016121511","38.525000000000006"
"3201000468","LACNOR JUICE MANGO 1 LT","PCS","CTN","2004000282020","149.5"
"3201000468","LACNOR JUICE MANGO 1 LT","PCS","CTN","6291016005262","149.5"
"3201000469","LACNOR JUICE PINEAPPLE 1LT","PCS","OUT","6291016111536","31.9125"
"3201000469","LACNOR JUICE PINEAPPLE 1LT","PCS","CTN","2004000282037","98.325"
"3201000470","LACNOR JUICE MIX FRUIT 1LT","PCS","OUT","6291016005347","39.10011500000001"
"3201000470","LACNOR JUICE MIX FRUIT 1LT","PCS","OUT","6291016111529","39.10011500000001"
"3201000470","LACNOR JUICE MIX FRUIT 1LT","PCS","CTN","2004000282044","117.58761500000001"
"3201000470","LACNOR JUICE MIX FRUIT 1LT","PCS","CTN","6291016005354","117.58761500000001"
"3201000471","LACNOR JUICE APPLE 1 LT","PCS","OFFER","6291021000313","33.349999999999994"
"3201000471","LACNOR JUICE APPLE 1 LT","PCS","CTN","2004000282051","101.2"
"3201000472","LACNOR JUICE GUAVA 1 LT","PCS","CTN","2004000282068","97.57692500000002"
"3201000475","LACNOR H/L JUICE TOMATO 1 LT","PCS","CTN","2004000282099","109.25"
"3201000476","LACNOR H/L JUICE GRAPEFRUIT 1 LT","PCS","CTN","2004000282105","97.80749999999999"
"3201000477","LACNOR H/L MANGO JUICE 1LTR","PCS","CTN","2004000282112","120.75"
"3201000479","LACNOR JUICE RED  APPLE 180ML","PCS","OUT","6291016114261","10.925"
"3201000479","LACNOR JUICE RED  APPLE 180ML","PCS","CTN","2004001497652","45.9425"
"3201000479","LACNOR JUICE RED  APPLE 180ML","PCS","CTN","6291016114469","45.9425"
"3201000481","LACNOR JUICE MANGO 180ML","PCS","OUT","6291016005286","13.225000000000001"
"3201000481","LACNOR JUICE MANGO 180ML","PCS","OUT","6291016124215","13.225000000000001"
"3201000481","LACNOR JUICE MANGO 180ML","PCS","CTN","2004001497775","51.6925"
"3201000481","LACNOR JUICE MANGO 180ML","PCS","CTN","6291016005293","51.6925"
"3201000481","LACNOR JUICE MANGO 180ML","PCS","CTN","6291016124413","51.6925"
"3201000482","LACNOR JUICE MIX FRUIT 180ML","PCS","OUT","6291016005378","12.075"
"3201000482","LACNOR JUICE MIX FRUIT 180ML","PCS","CTN","6291016005385","51.6925"
"3201000482","LACNOR JUICE MIX FRUIT 180ML","PCS","CTN","6291016114421","51.6925"
